Greyhound,Plc,Date,Track,Days,Distance,Mgn,Class,Box,In Run,Price,Time,Placing
Snooping,2/8,2025-07-09,Gunnedah,7,431,0.5,5,2,"7,7,2",$11.00,25.1,"1. Westside Bliss
3. Cash The Lot"
Snooping,2/7,2025-07-02,Gunnedah,9,431,11.5,5,2,"3,4,2",$8.00,24.6,"1. Molly Miss
3. Wreck It Rex"
Snooping,2/7,2025-06-23,Gunnedah,7,431,1.75,XM5,2,"3,3,2",$3.30,25.1,"1. Bernie Nismo
3. Ain't She Grand"
Snooping,6/6,2025-06-16,Maitland,7,450,8,5,2,"6,6,6",$4.00,25.6,"1. Not Clifford
2. Minuteman Two
3. Motor City Tig"
Snooping,4/6,2025-06-09,Maitland,7,450,10.5,5,5,"4,5,3",$29.00,25.2,"1. Rise Up Nismo
2. Panda Unleashed
3. Go Forward Jacki"
Snooping,6/8,2025-06-02,Maitland,5,450,13.5,5,3,"6,6,6",$41.00,25,"1. Rise Up Nismo
2. Missy Muck
3. Super Unreal"
Snooping,3/8,2025-05-28,Gunnedah,7,431,3.5,5H,4,"7,6,3",$61.00,25.2,"1. Shorty
2. Mortar"
Snooping,1/8,2025-05-21,Gunnedah,14,340,-0.13,5,2,"4,4,1",$18.00,20.1,"2. Salamat
3. Two Odd Socks"
Snooping,7/8,2025-05-07,Gunnedah,2,431,7,5,5,"7,8,7",$19.00,25.2,"1. Stilton Evie
2. Genuine Article
3. Tralee Luna"
Snooping,5/8,2025-05-05,Gunnedah,5,340,10,5,1,"8,7,5",$2.80,19.9,"1. Secret Sumatra
2. Bingo And Bluey
3. Abel's Dusty"
Snooping,4/8,2025-04-30,Gunnedah,14,340,2,5,2,"8,5,4",$3.90,20,"1. Slick Olive
2. Franky Scooter
3. Bago Sweetie"
Snooping,7/8,2025-04-16,Gunnedah,7,431,13.75,5,4,"8,8,7",$8.00,25.2,"1. Greysynd Fever
2. Impress Spieth
3. Greener Pastures"
Snooping,1/7,2025-04-09,Gunnedah,14,431,-8.25,M,1,"2,1,1",$2.88,24.9,"2. Together Forever
3. Cinnamon Swirl"
Snooping,3/7,2025-03-26,Gunnedah,21,431,4.25,M,2,"2,3,3",$4.80,25.3,"1. Stilton Evie
2. Together Forever"
Snooping,7/8,2025-03-05,Gunnedah,N/A,340,13.25,M,3,"6,7,7",$16.00,20.2,"1. Leaving Now
2. Tralee Aimee
3. Indi's Girl"
Motor City Tig,6/8,2025-08-20,Gunnedah,4,527,11,5,8,"7,5,6",$31.00,30.6,"1. Heidi Keeping
2. Snooping
3. Barely Light"
Motor City Tig,3/8,2025-08-16,The Gardens,3,515,4.75,5,2,"5,7,4",$34.00,29.9,"1. Zipping Viper
2. Kipyegon"
Motor City Tig,5/6,2025-08-13,Gunnedah,4,527,3.5,5,4,"5,4,5",$18.00,31.1,"1. Melting Moments
2. Lumeah Poppy
3. Daniel Keeping"
Motor City Tig,5/7,2025-08-09,The Gardens,7,515,7.75,5,1,"3,6,5",$29.00,30.1,"1. I'm Alright
2. Zipping Viper
3. Bago Sweetie"
Motor City Tig,3/4,2025-08-02,Dubbo,17,516,8,XM5,8,"4,4,4,3,3",$10.00,29.9,"1. Stiff Luck
2. Lumeah Rocket"
Motor City Tig,7/8,2025-07-16,Gunnedah,4,527,17.25,5,7,"4,6,7",$10.00,30.3,"1. Stilton Evie
2. Lagnicourt
3. Soul Optic"
Motor City Tig,3/6,2025-07-12,Dubbo,7,516,3.5,XM5,4,"4,3,3,3,3",$6.00,30,"1. Goanna Blue
2. Merry Merriwa"
Motor City Tig,5/7,2025-07-05,The Gardens,3,515,5.25,5,7,"3,5,5",$31.00,30,"1. Panda Unleashed
2. Alfie's Princess
3. Kipyegon"
Motor City Tig,4/7,2025-07-02,Gunnedah,9,431,14,5,3,"1,2,4",$31.00,24.6,"1. Molly Miss
2. Snooping
3. Wreck It Rex"
Motor City Tig,4/6,2025-06-23,Gunnedah,3,431,2.5,XM5,7,"6,6,4",$13.00,25.3,"1. Impress Ubud
2. Zipping Frida
3. Sylvia's Secret"
Motor City Tig,3/8,2025-06-20,The Gardens,4,515,6.5,5,6,"8,8,5",$126.00,29.9,"1. Smooth White
2. Alfie's Princess"
Motor City Tig,3/6,2025-06-16,Maitland,5,450,3.25,5,3,"1,3,3",$41.00,25.6,"1. Not Clifford
2. Minuteman Two"
Motor City Tig,5/7,2025-06-11,Gunnedah,10,431,6.25,5,3,"5,6,5",$81.00,25.2,"1. Motor City Hawk
2. Imperial Audrey
3. Ava's Milo"
Motor City Tig,5/5,2025-06-01,Gunnedah,6,527,8.75,XM5,8,"4,5,5",$31.00,31.1,"1. Hectic Blue
2. Paw Kinsley
3. Heidi Keeping"
Motor City Tig,6/7,2025-05-26,Dubbo,5,400,11,5,6,"5,7,6",$61.00,23.2,"1. Sudden Flash
2. Slippery Bogan
3. Kelly Chana"
Motor City Tig,6/7,2025-05-21,Gunnedah,9,527,7.75,5,2,"7,4,6",$41.00,31.1,"1. Fantastic Dave
2. Sammy's Beach
3. Merry Merriwa"
Motor City Tig,8/8,2025-05-12,Maitland,14,450,19.5,5,8,"7,7,8",$61.00,24.9,"1. Lochinvar Nugget
2. Rise Up Nismo
3. Handbrake's Off"
Motor City Tig,6/6,2025-04-28,Dubbo,23,516,22.75,XM5,5,"5,4,4,4,6",$126.00,30,"1. Evander Keeping
2. Spring Dazzler
3. Lumeah Nancy"
Motor City Tig,4/7,2025-04-05,Tamworth,8,457,6.25,X45H,3,N/A,$0.00,26.5,"1. Kingsbrae Westly
2. Jungle Tiger
3. Big Junior"
Motor City Tig,7/7,2025-03-28,The Gardens,N/A,515,11,5,1,"2,5,7",$81.00,29.8,"1. Raging Saige
2. Tarawi Licorice
3. Ritza Benji"
Zipping Frida,6/6,2025-08-13,Gunnedah,21,527,5,5,8,"6,6,6",$8.50,31.1,"1. Melting Moments
2. Lumeah Poppy
3. Daniel Keeping"
Zipping Frida,5/8,2025-07-23,Gunnedah,14,431,12.25,5,5,"4,4,5",$5.50,25,"1. Motor City Hawk
2. Very Best Buddy
3. Small Town Jet"
Zipping Frida,8/8,2025-07-09,Gunnedah,7,340,7.75,5,7,"4,7,7",$5.50,19.7,"1. Bago Sweetie
2. Bear Man
3. Federal Lotus"
Zipping Frida,4/8,2025-07-02,Gunnedah,9,431,6,5,5,"8,7,5",$6.00,25.3,"1. Reggie Rangoon
2. Rutland Jack
3. Hectic Blue"
Zipping Frida,2/6,2025-06-23,Gunnedah,31,431,1,XM5,4,"3,3,2",$3.00,25.3,"1. Impress Ubud
3. Sylvia's Secret"
Zipping Frida,4/8,2025-05-23,Richmond,6,622,11.75,XM5,5,"3,2,2",$3.00,35.7,"1. Lightning Hunter
2. Zipping Schultz
3. Bound's Missile"
Zipping Frida,7/8,2025-05-17,Wentworth Park,7,520,8,5,2,"5,5,6",$4.20,30,"1. Maggie's Ethics
2. Suribachi
3. Tomorrow Wendy"
Zipping Frida,3/8,2025-05-10,Wentworth Park,10,520,1,5,6,"6,6,3",$13.00,30.4,"1. Premier Status
2. Cumbria George"
Zipping Frida,6/8,2025-04-30,Richmond,9,520,10,5,2,"7,8,8,7",$2.80,29.6,"1. Zipping Nala
2. Right Said Ed
3. Recluse"
Zipping Frida,3/8,2025-04-21,Richmond,5,401,5.25,5,8,"7,6,5",$1.91,23,"1. Hudson
2. Fabulous Hudson"
Zipping Frida,1/8,2025-04-16,Richmond,3,520,-2.5,XM5,2,"5,4,1,1",$2.10,30,"2. Zipping Una
3. South Stand Envy"
Zipping Frida,3/8,2025-04-13,Richmond,11,401,10.25,5,4,"7,7,5",$4.20,22.3,"1. Rev It Suzie
2. Surroundings"
Zipping Frida,2/8,2025-04-02,Richmond,3,401,1,5,2,"6,4,4",$5.00,22.8,"1. Zipping Zodiac
3. Infamous Statham"
Zipping Frida,3/8,2025-03-30,Richmond,9,401,7.5,5,5,"4,5,5",$1.91,22.8,"1. Ghost Of Time
2. Big Bernie"
Zipping Frida,2/8,2025-03-21,Richmond,7,401,9.5,5,5,"3,3,2",$4.40,22.3,"1. Zipping Grinch
3. Montana Banner"
Zipping Frida,1/6,2025-03-14,Richmond,7,401,-1.25,M,5,"3,2,2",$1.45,22.8,"2. Energy Wave
3. Hello How Low"
Zipping Frida,3/7,2025-03-07,Richmond,7,401,6.75,M,8,"6,3,3",$1.30,22.7,"1. Unleash Jodi
2. Double Two"
Zipping Frida,2/6,2025-02-28,Richmond,5,401,2,M,8,"4,2,2",$2.35,22.7,"1. Unleash Shirley
3. Trunkey Frank"
Zipping Frida,2/7,2025-02-23,Richmond,N/A,401,3,M,1,"3,2,2",$2.70,22.6,"1. Zipping Hilda
3. Go Forward Spot"
Time To Crank,1/8,2025-08-20,Gunnedah,21,431,-3.5,5,5,"3,2,1",$81.00,25.2,"2. Lumeah Ziggy
3. Ghost Of Time"
Time To Crank,7/8,2025-07-30,Gunnedah,9,340,14.25,5,4,"7,8,7",$16.00,19.7,"1. Bold Jet
2. Muggle
3. Kiando Florence"
Time To Crank,2/8,2025-07-21,Gunnedah,103,340,0.75,5,2,"6,5,2",$2.50,20,"1. Whiskey Red
3. One Number Away"
Time To Crank,7/7,2025-04-09,Gunnedah,35,340,5.75,5,6,"7,7,7",$2.40,20.1,"1. Drink Rose
2. Federal Lotus
3. Spot On Fernando"
Time To Crank,5/8,2025-03-05,Gunnedah,7,340,11.75,5,6,"7,7,5",$4.50,19.7,"1. Get Up Tiger
2. Dam Panama
3. Bear Man"
Time To Crank,5/8,2025-02-26,Gunnedah,7,431,2.5,5,5,"4,5,5",$5.50,25.3,"1. Settle
2. Daniel Keeping
3. Genuine Article"
Time To Crank,4/6,2025-02-19,Gunnedah,7,431,2.25,5,7,"5,5,4",$12.00,25.2,"1. Mrs. Jacobs
2. Bomb Marvin
3. Mazy Girl"
Time To Crank,5/8,2025-02-12,Gunnedah,21,340,6.25,5,6,"5,6,5",$8.00,20,"1. Bear Man
2. Settle
3. Bye Bye Pat"
Time To Crank,5/8,2025-01-22,Gunnedah,14,431,13.25,5,8,"7,3,5",$17.00,24.9,"1. Cash Run
2. Drink Mickeys
3. Peyton's Wish"
Time To Crank,6/8,2025-01-08,Gunnedah,7,340,11.5,5,1,"7,6,6",$1.80,19.8,"1. Robbie's Power
2. Denawen Beach
3. Prince Vinnie"
Time To Crank,1/8,2025-01-01,Gunnedah,9,340,-1.75,M,1,"2,1,1",$2.45,19.7,"2. Imperial Chop
3. Flying Damiro"
Time To Crank,4/8,2024-12-23,Gunnedah,26,340,2.5,M,6,"5,5,4",$3.75,20.1,"1. Di's An Angel
2. Kiando Florence
3. Hip Drop"
Time To Crank,5/8,2024-11-27,Gunnedah,293,340,17.25,M,7,"8,6,5",$0.00,19.8,"1. Megara
2. Bingo And Bluey
3. Wolf Rock"
Time To Crank,7/7,2024-02-08,Gunnedah,63,340,20.25,M,7,"5,3,7",$3.00,20.1,"1. Buddy Mac
2. Blistered Fossil
3. Best Nan"
Time To Crank,3/8,2023-12-07,Gunnedah,15,340,9.25,M,6,"3,2,3",$3.20,19.6,"1. Milly Chana
2. Dixie's Girl"
Time To Crank,5/8,2023-11-22,The Gardens,6,400,8.25,M,8,"3,4",$10.00,23,"1. Ted Robbo
2. Oscar Tommy
3. Tiny Tayla"
Time To Crank,7/8,2023-11-16,Gunnedah,N/A,340,10,M,4,"8,8,7",$6.00,19.8,"1. Simply Black
2. Lumeah Max
3. Set To Dare"
Wreck It Rex,3/8,2025-08-22,The Gardens,7,400,2.5,5,7,"8,4",$3.00,23,"1. Good Odds Keona
2. Jet Fuel"
Wreck It Rex,2/8,2025-08-15,The Gardens,4,400,0.5,5,8,"6,3",$6.50,22.7,"1. She's Blissful
3. Tralee Luna"
Wreck It Rex,1/7,2025-08-11,Gunnedah,3,340,-4,5,7,"5,4,1",$1.85,20,"2. Hip Hop
3. Kiando Brooklyn"
Wreck It Rex,3/8,2025-08-08,The Gardens,9,400,1,5,4,"7,4",$11.00,23.2,"1. Housie Bob
2. Pitman Ringo"
Wreck It Rex,6/8,2025-07-30,Gunnedah,7,340,7.5,5,4,"6,6,6",$3.25,19.9,"1. Target Time
2. Quick Edition
3. Genuine Article"
Wreck It Rex,7/8,2025-07-23,Gunnedah,5,431,16.25,5,6,"6,6,7",$4.75,25,"1. Motor City Hawk
2. Very Best Buddy
3. Small Town Jet"
Wreck It Rex,4/8,2025-07-18,The Gardens,2,400,2.5,5,1,"1,5",$7.50,23.2,"1. Barsando
2. Starlight Duke
3. Good Odds Keona"
Wreck It Rex,6/7,2025-07-16,Gunnedah,7,340,13.5,5,6,"6,6,6",$4.75,19.9,"1. Fulfilment
2. Rhi's Girl
3. Tralee Luna"
Wreck It Rex,3/8,2025-07-09,Gunnedah,4,340,6,5,8,"1,1,3",$1.73,19.9,"1. Rhi's Girl
2. Still Watching"
Wreck It Rex,4/8,2025-07-05,The Gardens,3,400,6,5,3,"5,4",$3.60,22.9,"1. Slick Sand
2. Snacks
3. Hi Lo Rain"
Wreck It Rex,3/7,2025-07-02,Gunnedah,11,431,13.25,5,6,"4,5,3",$6.00,24.6,"1. Molly Miss
2. Snooping"
Wreck It Rex,6/8,2025-06-21,The Gardens,3,400,17.75,5,7,"1,1",$4.60,22.9,"1. Avocado Toast
2. Run Cliff Run
3. Bun Tornado"
Wreck It Rex,8/8,2025-06-18,Gunnedah,5,431,16,5,5,"5,8,8",$2.62,24.8,"1. Danny Whizz Bang
2. Robbie's Power
3. Imperial Audrey"
Wreck It Rex,1/8,2025-06-13,The Gardens,5,400,-3,5,6,"3,1",$3.10,23,"2. Housie Bob
3. Armatree Freddo"
Wreck It Rex,2/8,2025-06-08,Gunnedah,4,431,6.75,XM5,7,"4,2,2",$3.00,24.6,"1. Bandit Bugsy
3. Lily Bloom"
Wreck It Rex,1/8,2025-06-04,Gunnedah,7,340,-2.5,M,6,"2,1,1",$2.30,19.7,"2. Ada Taro
3. Faith In Nanny"
Wreck It Rex,4/8,2025-05-28,Gunnedah,N/A,340,5.25,MH,4,"3,4,4",$34.00,19.6,"1. Spring Mirage
2. Karli Mulwee
3. Peach Mac"
Truth Be Known,7/7,2025-08-21,Q Straight,7,350,9.25,MF,7,"6,7",$34.00,19,"1. She's All Fire
2. Not The Deputy
3. Tibetan Belle"
Truth Be Known,4/7,2025-08-14,Q Straight,17,350,2.5,M,8,"6,6",$7.50,19.4,"1. Walk Away Renee
2. Regal Saint
3. Austrian Rose"
Truth Be Known,3/8,2025-07-28,Q Straight,7,350,5,M,8,"5,5,2",$2.90,19.5,"1. Enigma Outlaw
2. Runaway Skittle"
Truth Be Known,3/8,2025-07-21,Q Straight,82,350,3.25,M,7,"5,5,3",$10.00,19.5,"1. Hey Marty
2. Perfect Pose"
Truth Be Known,6/8,2025-04-30,Albion Park,10,395,8,M,4,7,$5.00,23.2,"1. Idea's Man
2. Waikarie Bella
3. Non Stop Wizard"
Truth Be Known,4/8,2025-04-20,Q1 Lakeside,N/A,390,6.5,M,7,"7,5",$4.20,22.1,"1. Share The Dream
2. Midnight Dash
3. Missy Moo Moo"
Alone Time,6/8,2025-08-22,Q1 Lakeside,10,390,15.5,M,5,"7,5",$34.00,21.9,"1. Kalahari
2. Canya Launch
3. Zawadi"
Alone Time,6/7,2025-08-12,Q1 Lakeside,5,457,6.5,M,2,"5,4,4",$26.00,25.8,"1. Whoop That Trick
2. Love By Design
3. Spring Flick"
Alone Time,2/7,2025-08-07,Q Straight,29,350,3.5,M,3,"4,2",$26.00,19.4,"1. Princess Darcy
3. Austrian Rose"
Alone Time,6/7,2025-07-09,Rockhampton,13,407,10.5,M,2,5,$6.50,24.1,"1. Tusken Raider
2. Playing To Win
3. Tightrope Henry"
Alone Time,7/8,2025-06-26,Q Straight,275,350,4.5,M,4,"8,4",$11.00,19.6,"1. Don't Cry Mama
2. Stressful Art
3. Miss Momentum"
Alone Time,6/8,2024-09-24,Ipswich,60,431,24.75,M,4,6,$9.50,24.9,"1. Grevillea
2. Gold Dynamite
3. Sissy Maybelle"
Alone Time,4/7,2024-07-26,Ipswich,3,431,8,M,6,4,$11.00,25.5,"1. Amren
2. Get Maggie
3. Groovy Georgie"
Alone Time,4/8,2024-07-23,Ipswich,N/A,431,11,M,1,2,$15.00,25.4,"1. Nurse Christina
2. Nunniong
3. Runaway Bundy"
Butternut Queen,6/8,2025-07-09,Q1 Lakeside,7,352,8.75,MF,4,"3,4",$14.00,19.9,"1. Ellie Unleashed
2. Backyard Broad
3. Our Girl Franky"
Butternut Queen,4/8,2025-07-02,Q1 Lakeside,N/A,352,2.75,M,8,"4,2",$8.50,20.2,"1. Hot Momentum
2. Ellie Unleashed
3. Backyard Broad"
Supreme Comander,7/8,2025-08-03,Q Straight,N/A,300,7.25,M,2,3,$9.00,17,"1. Rhino's Dreaming
2. Federal War
3. Shy Hi"
Mickey Will,4/8,2025-08-20,Q1 Lakeside,7,352,9.25,MF,2,"5,5",$22.00,19.8,"1. Penny Calido
2. Immovable Force
3. Apex"
Mickey Will,3/7,2025-08-13,Q1 Lakeside,28,352,3.75,M,4,"5,3",$6.00,20,"1. Spring Toulon
2. Runaway Skittle"
Mickey Will,3/8,2025-07-16,Q1 Lakeside,N/A,352,7,M,3,"5,3",$11.00,19.7,"1. Swift Cannon
2. Champagne Fizz"
Dream Dash,4/8,2025-07-28,Q Straight,7,350,7,M,2,"1,2,4",$9.50,19.5,"1. Enigma Outlaw
2. Runaway Skittle
3. Truth Be Known"
Dream Dash,5/8,2025-07-21,Q Straight,N/A,350,2,M,1,"5,1,5",$4.60,20,"1. She's Dynamite
2. Joy Moo Moo
3. Shy Hi"
Goldstar Vogue,6/8,2025-07-23,Q1 Lakeside,27,352,8.75,M,5,"6,5",$7.50,20,"1. Mick's Belle
2. Loudon Clear
3. Six Gins"
Goldstar Vogue,4/8,2025-06-26,Q Straight,18,300,1.25,M,1,"4,4",$3.10,17,"1. No Stylist
2. Sassy Snow
3. Federal Joker"
Goldstar Vogue,5/8,2025-06-08,Q1 Lakeside,N/A,352,3.75,M,3,"7,5,5",$4.50,20.3,"1. Brindle Boy
2. Goldstar Alexis
3. Birds The Word"
Highway To Hell,8/8,2025-08-13,Ballarat,N/A,390,23.44,M,4,"6,8",$14.00,21.9,"1. Robinson
2. Oh Biscuit
3. Goblin"
Toowoomba Willy,3/8,2025-08-23,Ballarat,99,390,4.66,M,3,"5,3",$9.00,22.3,"1. Aston Boost
2. Night Sharid"
Toowoomba Willy,4/8,2025-05-16,Ballarat,4,450,11.77,M,6,"6,5,4",$5.50,25.6,"1. Aston Girl
2. Regal Spencer
3. Little Bella"
Toowoomba Willy,4/6,2025-05-12,Shepparton,47,450,3.31,M,2,"4,4,4",$16.00,25.5,"1. La Madonna Rico
2. Thai Tiger
3. Whodat Hooked"
Toowoomba Willy,7/8,2025-03-26,Ballarat,8,450,14.27,M,3,"7,8,7",$41.00,25.2,"1. Paw Funk
2. Paw Inflame
3. Always The Sun"
Toowoomba Willy,7/8,2025-03-18,Horsham,11,485,13.66,MF,4,"8,8,7",$67.00,27,"1. Room To Breathe
2. Irish Bill
3. Mepunga Donna"
Toowoomba Willy,3/7,2025-03-07,Horsham,N/A,485,8,MH,8,"7,7,5",$61.00,27.2,"1. Exaggerator
2. Irish Zoe"
Rita Skeeter,4/8,2025-08-19,Geelong,4,460,13.43,M,4,"7,6,4",$61.00,26,"1. Aston Russell
2. Ridiculous
3. Nighttime"
Rita Skeeter,7/8,2025-08-15,Geelong,6,400,11.97,MH,7,"6,7",$41.00,22.6,"1. Imitated
2. Hara Hachi Bu
3. Paw Cora"
Rita Skeeter,6/6,2025-08-09,Geelong,11,460,15,M,5,"4,4,5",$26.00,26.3,"1. Phineas Nigellus
2. Dark Arts"
Rita Skeeter,4/6,2025-07-29,Geelong,4,460,5.97,M,2,"6,5,3",$4.75,26.5,"1. Aussie Fernando
2. Divine Ratio
3. Pressure Down"
Rita Skeeter,8/8,2025-07-25,Geelong,7,460,18.47,M,3,"8,8,8",$18.00,25.9,"1. Sami Riot
2. Canya Ponga
3. Conquer"
Rita Skeeter,2/6,2025-07-18,Geelong,7,460,4.71,RW,2,"2,2,2",$51.00,26.2,"1. Par Excellence
3. Aussie Fernando"
Rita Skeeter,8/8,2025-07-11,Geelong,N/A,400,18.47,M,4,"7,7",$8.00,22.4,"1. Flying Intention
2. Flying Stratus
3. Green Shoots"
On Song Turner,6/8,2025-08-17,Healesville,N/A,300,7.63,M,4,7,$18.00,16.9,"1. Some Secret
2. Spirit Armor
3. Diplomat"
Ascend Fern,4/5,2025-08-20,The Meadows,35,525,5.73,MH,2,"2,4,4,4",$5.50,30.4,"1. Mepunga Express
2. Lady Tsunade
3. Black Raider"
Ascend Fern,6/8,2025-07-16,The Meadows,8,525,10.83,M,8,"5,4,4,5",$7.00,30.4,"1. I'm Kenny
2. Lady Ness
3. Ironic"
Ascend Fern,3/6,2025-07-08,Geelong,8,460,2.57,M,4,"2,2,2",$6.50,26,"1. Ascend Igloo
2. Ascend Geranium"
Ascend Fern,4/7,2025-06-30,Sandown Park,5,515,12.03,M,4,"7,5,4,4",$21.00,29.4,"1. Mepunga Sage
2. Aston Bugsy
3. Accessible"
Ascend Fern,3/7,2025-06-25,Ballarat,7,450,3.86,M,6,"4,4,3",$8.50,26.2,"1. Phoenix Violet
2. Urana Parallax"
Ascend Fern,4/8,2025-06-18,The Meadows,N/A,525,5.44,MH,4,"3,4,3,4",$11.00,30.9,"1. Ascend Hibiscus
2. Pax Bostonia
3. Duran Nirvana"
Greedy Butcher,2/6,2025-08-22,Geelong,7,460,4.41,M,1,"2,2,2",$6.00,26.4,"1. Weblec Snip
3. Mighty Multi"
Greedy Butcher,4/8,2025-08-15,Geelong,N/A,400,3.43,MH,5,"3,3",$10.00,23,"1. Dark Arts
2. Paw Zoltin
3. Aussie Raven"
Knockabout Kid,5/7,2025-08-20,The Meadows,7,525,8.33,MH,8,"1,5,5,5",$6.50,30.4,"1. He's Got Speed
2. Paddy's Chariot
3. Weblec Memphis"
Knockabout Kid,5/8,2025-08-13,Ballarat,19,450,6.76,M,4,"3,5,5",$7.00,25.6,"1. Caco Magic
2. Miner Mick
3. Hunterview Jack"
Knockabout Kid,5/8,2025-07-25,Bendigo,7,425,6.94,MAIDEN FINAL,4,N/A,$41.00,23.8,"1. Barooga Jim
2. Hatari
3. Mepunga Sandy"
Knockabout Kid,3/8,2025-07-18,Bendigo,N/A,425,1.77,MH,6,"4,3,3",$29.00,24.2,"1. Slick Tommy
2. Atticus"
Ironic,5/6,2025-08-22,Geelong,20,460,8.6,M,7,"4,5,5",$3.60,26.4,"1. Weblec Snip
2. Greedy Butcher
3. Mighty Multi"
Ironic,3/7,2025-08-02,The Meadows,10,525,6,MF,3,"5,3,3,3",$41.00,30.1,"1. Avengement
2. Flat Out Freddy"
Ironic,3/6,2025-07-23,The Meadows,7,525,7.86,MH,8,"3,3,3,3",$6.50,30,"1. In Bloom
2. Flat Out Freddy"
Ironic,3/8,2025-07-16,The Meadows,7,525,3.97,M,1,"4,3,2,2",$4.33,30.4,"1. I'm Kenny
2. Lady Ness"
Ironic,4/8,2025-07-09,The Meadows,N/A,525,2.89,M,1,"5,3,3,3",$3.90,30.8,"1. Paw Bennett
2. Diplomat
3. I'm Kenny"
Aston Millicent,3/8,2025-08-21,Warrnambool,62,390,2.47,M,4,"3,2",$2.15,22.4,"1. Lara Moon
2. Hunterview Jack"
Aston Millicent,2/7,2025-06-20,Geelong,N/A,400,0.73,M,8,"1,1",$8.50,22.8,"1. Feelin' Free
3. Volts"
Tuncurry Blue,3/8,2025-08-20,Taree,7,300,6,M,3,"2,3",$2.05,17.8,"1. Pop's Big Guy
2. Pouring Rain"
Tuncurry Blue,3/8,2025-08-13,Taree,7,300,3.5,M,7,"1,4",$3.75,17.5,"1. Hot Ruby
2. Lost Compass"
Tuncurry Blue,5/8,2025-08-06,Taree,15,300,10.25,M,8,"3,5",$17.00,17.4,"1. Outplayed
2. Lignite Coal
3. Lost Compass"
Tuncurry Blue,5/6,2025-07-22,Gosford,49,515,12.25,M,3,"3,5,5,5",$7.50,29.4,"1. Sporty Ethics
2. Migaloo
3. Naughty Evie"
Tuncurry Blue,4/8,2025-06-03,Gosford,182,388,15.75,M,2,8,$2.30,22.5,"1. Iron Dome
2. Storyline
3. Radiant Miss"
Tuncurry Blue,3/6,2024-12-03,Gosford,7,515,6,M,2,"2,1",$0.00,29.6,"1. Pepe Morada
2. In The Dark"
Tuncurry Blue,4/6,2024-11-26,Gosford,11,515,9,M,1,"2,1",$0.00,29.7,"1. Super Winona
2. Why Me
3. Goodwin Raso"
Tuncurry Blue,3/8,2024-11-15,The Gardens,9,400,5.25,M,1,"2,4",$7.00,23,"1. Wild Caviar
2. You Tell Her"
Tuncurry Blue,7/8,2024-11-06,Taree,4,300,9.75,MF,7,"1,7",$15.00,17.3,"1. Fortune Hunter
2. Girl Rolex
3. Souvlaki George"
Tuncurry Blue,2/8,2024-11-02,Taree,N/A,300,2.5,M,1,"4,2",$4.80,17.5,"1. Not A Boodie
3. Mum A Key"
Lost Compass,5/8,2025-08-20,Taree,4,300,7.75,M,5,"5,5",$4.50,17.8,"1. Pop's Big Guy
2. Pouring Rain
3. Tuncurry Blue"
Lost Compass,5/7,2025-08-16,Taree,3,300,9,M,7,"3,3",$1.45,17.6,"1. Tulloch Road
2. Swooping Season
3. We So Cunning"
Lost Compass,2/8,2025-08-13,Taree,4,300,2.5,M,4,"3,2",$4.80,17.5,"1. Hot Ruby
3. Tuncurry Blue"
Lost Compass,2/8,2025-08-09,Taree,3,300,2.25,M,6,"3,2",$5.00,17.8,"1. Tout Belle
3. Krypto Rock"
Lost Compass,3/8,2025-08-06,Taree,7,300,6.75,M,7,"5,3",$51.00,17.4,"1. Outplayed
2. Lignite Coal"
Lost Compass,6/8,2025-07-30,Taree,N/A,300,13.25,M,1,"5,5",$10.00,17.5,"1. Christie Road
2. Lignite Coal
3. Tulloch Road"
Whiskey Agogo,3/8,2025-08-23,Taree,8,300,1.75,M,8,"2,3",$2.60,17.8,"1. Pirate Riot
2. Elf Magic"
Whiskey Agogo,3/8,2025-08-15,The Gardens,23,400,2,M,7,2,$7.50,23.4,"1. Breakaway Zipper
2. She's A Angel"
Whiskey Agogo,6/8,2025-07-23,Taree,9,300,11,MH,3,"8,7",$6.00,17.4,"1. Smilin' Ethics
2. Ironbark Boy
3. Our Girl Franky"
Whiskey Agogo,5/8,2025-07-14,Maitland,7,400,7,MF,3,"1,1,3",$15.00,22.7,"1. Tylan Charles
2. Gideon's Riot
3. Samson's Riot"
Whiskey Agogo,5/8,2025-07-07,Maitland,N/A,400,10.5,MH,7,"1,1,1",$6.00,22.6,"1. Magic Fletch
2. Nate's Beast
3. Josh The Boss"
Egyptian Queen,2/6,2025-07-15,Gosford,7,388,1.5,M,1,"2,2,2",$1.18,22.5,"1. Jamal Wick
3. Rico's Princess"
Egyptian Queen,2/8,2025-07-08,Gosford,N/A,388,8,M,2,"3,4,2",$1.75,22.4,"1. Blazing Blue Ice
3. Jamal Wick"
Elf Magic,2/8,2025-08-23,Taree,155,300,0.5,M,2,"4,1",$3.60,17.8,"1. Pirate Riot
3. Whiskey Agogo"
Elf Magic,6/8,2025-03-21,The Gardens,13,400,9,M,3,"7,5",$13.00,23,"1. I'm Alright
2. Armatree Freddo
3. Larrikin Pioneer"
Elf Magic,4/8,2025-03-08,The Gardens,29,400,3,M,5,"4,2",$13.00,23.4,"1. Might Make
2. Toby Bell
3. Larrikin Pioneer"
Elf Magic,4/8,2025-02-07,The Gardens,N/A,400,9.25,M,4,"2,3,3",$7.00,23.3,"1. Game On Greg
2. Midnight Man
3. Celine Rico"
