Greyhound,Plc,Date,Track,Days,Distance,Mgn,Class,Box,In Run,Price,Time,Placing
Revolution Rico,3/8,2025-07-09,Cannington,14,381,7.5,M,1,"4,4,4",$3.60,22.3,"1. Lara Magic
2. Akermanis"
Revolution Rico,5/8,2025-06-25,Cannington,7,520,10.5,M,3,"5,5,5,5",$81.00,30.1,"1. Sunset Paris
2. Take My Advice
3. Aston Negroni"
Revolution Rico,5/8,2025-06-18,Cannington,7,520,11,M,4,"7,6,6,6",$51.00,30.1,"1. Finny Fox
2. Take My Advice
3. Knight Fright"
Revolution Rico,4/8,2025-06-11,Cannington,74,520,14,M,2,"7,4,5,4",$34.00,30.1,"1. Tic Tac Monelli
2. Sunset Paris
3. Finny Fox"
Revolution Rico,3/5,2025-03-29,Cannington,10,520,19.75,M,5,"5,5,4,4",$12.00,30.1,"1. West On Burnie
2. Burnt Passion"
Revolution Rico,4/8,2025-03-19,Cannington,7,520,5.25,M,7,"4,5,4,4",$51.00,30.2,"1. Chef's Dream
2. Think Positive
3. West On Burnie"
Revolution Rico,5/8,2025-03-12,Cannington,11,520,10.25,M,6,"8,6,6,6",$26.00,29.9,"1. Midgegooroo Road
2. Bangor Tiger
3. West On Burnie"
Revolution Rico,3/8,2025-03-01,Cannington,86,520,7.75,M,3,"7,3,3,3",$67.00,30.2,"1. Catch The Feels
2. Jai Bubba"
Revolution Rico,6/6,2024-12-05,Northam,7,509,63.25,M,5,"6,6,6,6",$0.00,29.7,"1. Jayde Mccool
2. Incredible Lord
3. Knight Fright"
Revolution Rico,4/7,2024-11-28,Northam,7,509,7.5,M,7,"4,5,5,5",$0.00,29.9,"1. El Bandaleros
2. Jayde Mccool
3. Incredible Lord"
Revolution Rico,5/8,2024-11-21,Northam,28,509,8.75,M,5,"3,4,5,5",$0.00,29.9,"1. Mrs. Nesbit
2. Jayde Mccool
3. Incredible Lord"
Revolution Rico,7/8,2024-10-24,Northam,7,509,13.5,M,5,"8,8,8,8",$71.00,29.8,"1. Canya Ice Man
2. American Indian
3. Jayde Mccool"
Revolution Rico,7/8,2024-10-17,Northam,14,509,9.25,M,6,"3,7,8,7",$34.00,30,"1. Quick Lands
2. El Bandaleros
3. Pure Love"
Revolution Rico,8/8,2024-10-03,Northam,7,509,17.75,M,6,"5,3,8,8",$16.00,30,"1. Incredible King
2. Pure Love
3. Arctic Crop"
Revolution Rico,2/7,2024-09-26,Northam,7,509,5.75,M,2,"6,3,3,3",$6.50,30.1,"1. Markov
3. Go Gettem Scooby"
Revolution Rico,6/8,2024-09-19,Northam,N/A,509,7.5,M,6,"7,6,7,6",$21.00,30.4,"1. Junk Yard Clyde
2. Lou's Soul
3. Pure Love"
Missing Cash,4/8,2025-08-20,Cannington,6,381,6,M,5,"4,4,4",$7.50,22.2,"1. Bark Lightyear
2. Milky Bar Kid
3. Pickling Pete"
Missing Cash,6/8,2025-08-14,Cannington,N/A,381,9,M,2,"5,4,6",$8.00,22.2,"1. Geordie Lad
2. Bolt Of Fun
3. Lady Freya"
